gene,pathway
MAP2K1,path:ptr05022
MAP2K1,path:ptr05034
MAP2K1,path:ptr05132
MAP2K1,path:ptr05135
MAP2K1,path:ptr05160
MAP2K1,path:ptr05161
MAP2K1,path:ptr05163
MAP2K1,path:ptr05164
MAP2K1,path:ptr05165
MAP2K1,path:ptr05166
MAP2K1,path:ptr05167
MAP2K1,path:ptr05170
MAP2K1,path:ptr05200
MAP2K1,path:ptr05205
MAP2K1,path:ptr05206
MAP2K1,path:ptr05207
MAP2K1,path:ptr05208
MAP2K1,path:ptr05210
MAP2K1,path:ptr05211
MAP2K1,path:ptr05212
MAP2K1,path:ptr05213
MAP2K1,path:ptr05214
MAP2K1,path:ptr05215
MAP2K1,path:ptr05216
MAP2K1,path:ptr05218
MAP2K1,path:ptr05219
MAP2K1,path:ptr05220
MAP2K1,path:ptr05221
MAP2K1,path:ptr05223
MAP2K1,path:ptr05224
MAP2K1,path:ptr05225
MAP2K1,path:ptr05226
MAP2K1,path:ptr05230
MAP2K1,path:ptr05231
MAP2K1,path:ptr05235
MAP2K2,path:ptr01521
MAP2K2,path:ptr01522
MAP2K2,path:ptr04010
MAP2K2,path:ptr04012
MAP2K2,path:ptr04014
MAP2K2,path:ptr04015
MAP2K2,path:ptr04022
MAP2K2,path:ptr04024
MAP2K2,path:ptr04066
MAP2K2,path:ptr04068
MAP2K2,path:ptr04071
MAP2K2,path:ptr04072
MAP2K2,path:ptr04140
MAP2K2,path:ptr04148
MAP2K2,path:ptr04150
MAP2K2,path:ptr04151
MAP2K2,path:ptr04210
MAP2K2,path:ptr04218
MAP2K2,path:ptr04270
MAP2K2,path:ptr04370
MAP2K2,path:ptr04371
MAP2K2,path:ptr04517
MAP2K2,path:ptr04519
MAP2K2,path:ptr04540
MAP2K2,path:ptr04550
MAP2K2,path:ptr04613
MAP2K2,path:ptr04620
MAP2K2,path:ptr04650
MAP2K2,path:ptr04660
MAP2K2,path:ptr04662
MAP2K2,path:ptr04664
MAP2K2,path:ptr04720
MAP2K2,path:ptr04722
MAP2K2,path:ptr04730
MAP2K2,path:ptr04810
MAP2K2,path:ptr04910
MAP2K2,path:ptr04912
MAP2K2,path:ptr04915
MAP2K2,path:ptr04916
MAP2K2,path:ptr04917
MAP2K2,path:ptr04919
MAP2K2,path:ptr04921
MAP2K2,path:ptr04926
MAP2K2,path:ptr04929
MAP2K2,path:ptr04934
MAP2K2,path:ptr04935
MAP2K2,path:ptr05010
MAP2K2,path:ptr05022
MAP2K2,path:ptr05132
MAP2K2,path:ptr05135
MAP2K2,path:ptr05160
MAP2K2,path:ptr05161
MAP2K2,path:ptr05163
MAP2K2,path:ptr05164
MAP2K2,path:ptr05165
MAP2K2,path:ptr05166
MAP2K2,path:ptr05167
MAP2K2,path:ptr05170
MAP2K2,path:ptr05200
MAP2K2,path:ptr05205
MAP2K2,path:ptr05206
MAP2K2,path:ptr05207
MAP2K2,path:ptr05208
MAP2K2,path:ptr05210
MAP2K2,path:ptr05211
MAP2K2,path:ptr05213
MAP2K2,path:ptr05214
MAP2K2,path:ptr05215
MAP2K2,path:ptr05216
MAP2K2,path:ptr05218
MAP2K2,path:ptr05219
MAP2K2,path:ptr05220
MAP2K2,path:ptr05221
MAP2K2,path:ptr05223
MAP2K2,path:ptr05224
MAP2K2,path:ptr05225
MAP2K2,path:ptr05226
MAP2K2,path:ptr05230
MAP2K2,path:ptr05231
MAP2K2,path:ptr05235
MAPK1,path:ptr01521
MAPK1,path:ptr01522
MAPK1,path:ptr01524
MAPK1,path:ptr04010
MAPK1,path:ptr04012
MAPK1,path:ptr04014
MAPK1,path:ptr04015
MAPK1,path:ptr04022
MAPK1,path:ptr04024
MAPK1,path:ptr04062
MAPK1,path:ptr04066
MAPK1,path:ptr04068
MAPK1,path:ptr04071
MAPK1,path:ptr04072
MAPK1,path:ptr04114
MAPK1,path:ptr04140
MAPK1,path:ptr04148
MAPK1,path:ptr04150
MAPK1,path:ptr04151
MAPK1,path:ptr04210
MAPK1,path:ptr04218
MAPK1,path:ptr04261
MAPK1,path:ptr04270
MAPK1,path:ptr04350
MAPK1,path:ptr04360
MAPK1,path:ptr04370
MAPK1,path:ptr04371
