gene,hotspot_freq_luad,n_luad_lines_hotspot,n_luad_lines_screened_hotspot,mean_expr_logTPM,std_expr_logTPM,n_luad_lines_expr,mean_copy_number,n_luad_lines_cn,mean_crispr_dependency,n_luad_lines_crispr_dependency,mean_crispr_effect,n_luad_lines_crispr_effect
OR10AG1,,,,0.0026,0.0178,83.0,1.0483,45.0,0.0284,48.0,0.0113,48.0
OR10C1,,,,0.0027,0.0186,83.0,1.0314,45.0,0.2278,48.0,-0.2808,48.0
OR10D3,,,,0.0116,0.0533,83.0,1.0715,45.0,0.0105,2.0,0.1216,2.0
OR10G2,,,,0.0056,0.0159,83.0,1.0328,45.0,0.0689,48.0,-0.0746,48.0
OR10G3,,,,0.0002,0.0016,83.0,1.1071,45.0,0.0583,48.0,-0.0695,48.0
OR10G4,,,,0.0006,0.0029,83.0,1.0584,45.0,0.0221,48.0,0.0312,48.0
OR10G6,,,,0.0,0.0,83.0,1.0583,45.0,0.0424,2.0,0.0159,2.0
OR10G7,,,,0.0009,0.0074,83.0,1.0477,45.0,0.0117,48.0,0.1039,48.0
OR10G8,,,,0.0005,0.0049,83.0,1.0949,45.0,0.0387,48.0,-0.005,48.0
OR10G9,,,,0.0,0.0,83.0,,0.0,0.0681,48.0,-0.0737,48.0
OR10H1,,,,0.2065,0.4492,83.0,0.855,45.0,0.1625,48.0,-0.2109,48.0
OR10H2,,,,0.0064,0.0237,83.0,0.9922,45.0,0.1462,48.0,-0.2142,48.0
OR10H3,,,,0.0004,0.0036,83.0,0.912,45.0,0.0128,48.0,0.0788,48.0
OR10H4,,,,0.0,0.0,83.0,0.9278,45.0,0.0343,48.0,-0.0142,48.0
OR10H5,,,,0.0102,0.0311,83.0,0.8492,45.0,0.0829,48.0,-0.1159,48.0
OR10J1,,,,0.0,0.0,83.0,1.3108,45.0,0.0109,48.0,0.1056,48.0
OR10J3,,,,0.0385,0.3204,83.0,,,,,,
OR10J4,,,,0.0,0.0,83.0,,,,,,
OR10J5,,,,0.002,0.0091,83.0,1.3259,45.0,0.0335,48.0,-0.0228,48.0
OR10K1,,,,0.0015,0.004,83.0,1.1784,45.0,0.1167,48.0,-0.1595,48.0
OR10K2,,,,0.0001,0.0011,83.0,1.2409,45.0,0.0796,48.0,-0.0948,48.0
OR10P1,,,,0.0,0.0,83.0,1.1616,45.0,0.0621,48.0,-0.0741,48.0
OR10Q1,,,,0.0055,0.0261,83.0,1.0099,45.0,0.0207,48.0,0.0295,48.0
OR10R2,,,,0.0,0.0,83.0,1.2062,45.0,0.041,48.0,-0.0386,48.0
OR10S1,,,,0.0209,0.0716,83.0,1.1148,45.0,,,,
OR10T2,,,,0.0,0.0,83.0,1.2821,45.0,0.2057,48.0,-0.2389,48.0
OR10V1,,,,0.0005,0.0043,83.0,1.0656,45.0,0.0374,48.0,-0.0276,48.0
OR10W1,,,,0.0,0.0,83.0,1.0821,45.0,0.0178,48.0,0.0513,48.0
OR10X1,,,,0.0004,0.0036,83.0,1.2502,45.0,,,,
OR10Z1,,,,0.0037,0.0157,83.0,1.259,45.0,0.0087,48.0,0.1205,48.0
OR11A1,,,,0.0236,0.1742,83.0,1.0233,45.0,0.0118,48.0,0.0834,48.0
OR11G2,,,,0.0003,0.0017,83.0,1.2031,45.0,,,,
OR11H1,,,,0.0037,0.0155,83.0,,0.0,,,,
OR11H12,,,,0.0209,0.0551,83.0,,0.0,,0.0,,0.0
OR11H2,,,,0.0088,0.0252,83.0,,0.0,,,,
OR11H4,,,,0.0303,0.0466,83.0,1.1554,45.0,0.0763,48.0,-0.0934,48.0
OR11H6,,,,0.0201,0.0388,83.0,1.2665,45.0,0.0542,48.0,-0.0803,48.0
OR11H7,,,,0.319,0.3564,83.0,,,,,,
OR11L1,,,,0.0017,0.0126,83.0,1.0656,45.0,0.0081,48.0,0.1301,48.0
OR12D1,,,,0.003,0.0203,83.0,,,,,,
OR12D2,,,,0.0083,0.0362,83.0,1.0128,45.0,,,,
OR12D3,,,,0.0033,0.0182,83.0,1.0168,45.0,0.0159,48.0,0.1013,48.0
OR13A1,,,,0.0297,0.0507,83.0,0.9883,45.0,0.0662,48.0,-0.0763,48.0
OR13C2,,,,0.002,0.0092,83.0,,0.0,0.0117,48.0,0.1048,48.0
OR13C3,,,,0.0005,0.0049,83.0,1.0436,45.0,0.0284,48.0,-0.0022,48.0
OR13C4,,,,0.0029,0.0117,83.0,1.075,45.0,0.0767,48.0,-0.1127,48.0
OR13C5,,,,0.0029,0.0136,83.0,,0.0,0.0038,48.0,0.2221,48.0
OR13C7,,,,0.0023,0.0169,83.0,,,,,,
OR13C8,,,,0.0025,0.014,83.0,1.0568,45.0,0.1154,48.0,-0.1742,48.0
OR13C9,,,,0.0014,0.0091,83.0,,0.0,0.0113,48.0,0.0945,48.0
OR13D1,,,,0.0131,0.029,83.0,1.0364,45.0,0.0653,48.0,-0.1029,48.0
OR13F1,,,,0.0,0.0,83.0,1.0057,45.0,0.1492,48.0,-0.21,48.0
OR13G1,,,,0.0043,0.0197,83.0,1.1286,45.0,0.0109,48.0,0.1082,48.0
OR13H1,,,,0.0491,0.0851,83.0,0.7422,45.0,0.045,48.0,-0.0593,48.0
OR13J1,,,,0.0194,0.0492,83.0,1.008,45.0,0.0332,48.0,-0.0204,48.0
OR14A16,,,,0.0003,0.0027,83.0,1.0692,45.0,0.0402,48.0,-0.0347,48.0
OR14A2,,,,0.0029,0.0135,83.0,1.1218,45.0,0.0251,2.0,-0.0283,2.0
OR14C36,,,,0.001,0.006,83.0,1.124,45.0,0.0173,48.0,0.0517,48.0
OR14I1,,,,0.008,0.0254,83.0,1.1089,45.0,0.0178,48.0,0.0715,48.0
OR14J1,,,,0.0028,0.0205,83.0,1.0185,45.0,0.0335,48.0,-0.0331,48.0
OR14K1,,,,0.0178,0.0898,83.0,1.1314,45.0,0.0139,2.0,0.0647,2.0
OR14L1,,,,0.0025,0.015,83.0,1.1439,45.0,,,,
OR1A1,,,,0.0002,0.0012,83.0,0.9681,45.0,0.036,48.0,-0.0331,48.0
