id,entry_id,label,type,name,link,graphics,component_entry_ids
entry_115,115,"IGF1, IGF, IGF-I, IGFI, MGF...",gene,hsa:3479 hsa:3630,https://www.kegg.jp/dbget-bin/www_bget?hsa:3479+hsa:3630,"{""name"": ""IGF1, IGF, IGF-I, IGFI, MGF..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 67, ""y"": 630, ""width"": 46, ""height"": 17}",[]
entry_119,119,"GRB10, GRB-IR, Grb-10, IRBP, MEG1, RSS",gene,hsa:2887,https://www.kegg.jp/dbget-bin/www_bget?hsa:2887,"{""name"": ""GRB10, GRB-IR, Grb-10, IRBP, MEG1, RSS"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 242, ""y"": 673, ""width"": 46, ""height"": 17}",[]
entry_123,123,"GRB10, GRB-IR, Grb-10, IRBP, MEG1, RSS",gene,hsa:2887,https://www.kegg.jp/dbget-bin/www_bget?hsa:2887,"{""name"": ""GRB10, GRB-IR, Grb-10, IRBP, MEG1, RSS"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 936, ""y"": 330, ""width"": 46, ""height"": 17}",[]
entry_125,125,"FLCN, BHD, DENND8B, FLCL",gene,hsa:201163,https://www.kegg.jp/dbget-bin/www_bget?hsa:201163,"{""name"": ""FLCN, BHD, DENND8B, FLCL"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 579, ""y"": 250, ""width"": 46, ""height"": 17}",[]
entry_126,126,"FNIP2, FNIPL, MAPO1...",gene,hsa:57600 hsa:96459,https://www.kegg.jp/dbget-bin/www_bget?hsa:57600+hsa:96459,"{""name"": ""FNIP2, FNIPL, MAPO1..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 579, ""y"": 233, ""width"": 46, ""height"": 17}",[]
entry_133,133,"EIF4B, EIF-4B, PRO1843",gene,hsa:1975,https://www.kegg.jp/dbget-bin/www_bget?hsa:1975,"{""name"": ""EIF4B, EIF-4B, PRO1843"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 1024, ""y"": 468, ""width"": 46, ""height"": 17}",[]
entry_140,140,"MTOR, FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS",gene,hsa:2475,https://www.kegg.jp/dbget-bin/www_bget?hsa:2475,"{""name"": ""MTOR, FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 751, ""y"": 385, ""width"": 46, ""height"": 17}",[]
entry_141,141,"DEPTOR, DEP.6, DEPDC6, hDEPTOR",gene,hsa:64798,https://www.kegg.jp/dbget-bin/www_bget?hsa:64798,"{""name"": ""DEPTOR, DEP.6, DEPDC6, hDEPTOR"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 817, ""y"": 348, ""width"": 46, ""height"": 17}",[]
entry_142,142,"MLST8, GBL, GbetaL, LST8, POP3, WAT1",gene,hsa:64223,https://www.kegg.jp/dbget-bin/www_bget?hsa:64223,"{""name"": ""MLST8, GBL, GbetaL, LST8, POP3, WAT1"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 817, ""y"": 371, ""width"": 46, ""height"": 17}",[]
entry_143,143,"RPTOR, KOG1, Mip1",gene,hsa:57521,https://www.kegg.jp/dbget-bin/www_bget?hsa:57521,"{""name"": ""RPTOR, KOG1, Mip1"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 685, ""y"": 364, ""width"": 46, ""height"": 17}",[]
entry_144,144,"AKT1S1, Lobe, PRAS40",gene,hsa:84335,https://www.kegg.jp/dbget-bin/www_bget?hsa:84335,"{""name"": ""AKT1S1, Lobe, PRAS40"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 685, ""y"": 409, ""width"": 46, ""height"": 17}",[]
entry_149,149,"TTI1, KIAA0406, NEDMIM, smg-10",gene,hsa:9675,https://www.kegg.jp/dbget-bin/www_bget?hsa:9675,"{""name"": ""TTI1, KIAA0406, NEDMIM, smg-10"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 817, ""y"": 419, ""width"": 46, ""height"": 17}",[]
entry_150,150,"TELO2, CLK2, TEL2, YHFS",gene,hsa:9894,https://www.kegg.jp/dbget-bin/www_bget?hsa:9894,"{""name"": ""TELO2, CLK2, TEL2, YHFS"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 817, ""y"": 395, ""width"": 46, ""height"": 17}",[]
entry_153,153,"MTOR, FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS",gene,hsa:2475,https://www.kegg.jp/dbget-bin/www_bget?hsa:2475,"{""name"": ""MTOR, FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 751, ""y"": 615, ""width"": 46, ""height"": 17}",[]
