id,source,target,type,subtypes,source_entry_id,target_entry_id
relation_38,entry_12,entry_39,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",12,39
relation_39,entry_12,entry_42,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",12,42
relation_40,entry_12,entry_49,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",12,49
relation_41,entry_12,entry_163,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",12,163
relation_42,entry_12,entry_224,PPrel,"[{""name"": ""inhibition"", ""value"": ""--|""}]",12,224
relation_43,entry_12,entry_119,PPrel,"[{""name"": ""inhibition"", ""value"": ""--|""}]",12,119
relation_44,entry_114,entry_35,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",114,35
relation_45,entry_35,entry_36,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",35,36
relation_46,entry_36,entry_215,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",36,215
relation_47,entry_36,entry_102,PPrel,"[{""name"": ""activation"", ""value"": ""-->""}]",36,102
